wav_filename,wav_filesize,transcript
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R001.wav,96044,KHÁCH SẠN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R002.wav,158044,CHỈ BẰNG CÁCH LUÔN NỖ LỰC THÌ CUỐI CÙNG BẠN MỚI ĐƯỢC ĐỀN ĐÁP
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R003.wav,139044,TRONG SỐ CÁC QUỐC GIA CÔNG NGHIỆP PHÁT TRIỂN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R004.wav,159044,ANH ĐÃ NHÌN THẤY TRONG NHỮNG LẢI NHẢI DÔNG DÀI CỦA NHU
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R005.wav,104044,KHỦNG HOẢNG MÔI TRƯỜNG CẦN ĐƯỢC NGĂN CHẶN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R006.wav,144044,TRÔNG THẤY TÀU CÁ ĐẰNG XA ANH ĐÃ ẤN CÒI CẢNH BÁO
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R007.wav,167044,MẤY SÀO RUỘNG CỦA GIA ĐÌNH ÔNG ĐÀNH BỎ HOANG CHO CỎ MỌC
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R008.wav,106044,CÓ ĐÊM GẶP PHẢI HEO NỌC NÓ RƯỢT
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R009.wav,150044,CÁC BÀN HỌC NHỎ HẰNG NGÀY NAY TRỞ THÀNH BÀN THỜ CỦA CÁC CHÁU
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R010.wav,172044,CHA MẸ TÔI THƯỜNG CHÌ CHIẾT NHAU BẰNG NHỮNG LỜI LẼ KHÓ NGHE
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R011.wav,165044,HẤP DẪN NHẤT LÀ CUỘC THI BƠI THUYỀN TRUYỀN THỐNG
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R012.wav,105044,VỚI NHỮNG CỜ LÍP NHẠC TRUYỀN HÌNH
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R013.wav,93044,MỘT TRONG NHỮNG CÁCH TỐT NHẤT
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R014.wav,79044,ĂN CẮP PHỖNG TƯỢNG
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R015.wav,104044,TỚI VỖ VAI HỎI VỀ CHIẾC ÁO MỚI MUA
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R016.wav,124044,BÀO CHẾ NHỮNG LOẠI THUỐC CHỮA NGHIỆN MA TÚY
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R017.wav,105044,NHỮNG MÁI NGÓI ÂM DƯƠNG CỔ KÍNH
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R018.wav,89044,MẶT MŨI NÓ CÒN CÀU CẠU
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R019.wav,154044,NẮNG ĐÀO LÀM ỬNG HỒNG NHỮNG ĐÔI MÁ THIẾU NỮ HÀ THÀNH
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R020.wav,118044,CHIẾC Ổ THƯỜNG XUYÊN ĐƯỢC KHÓA CHẶT VÀO BÀN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R021.wav,156044,LÀM TÓC KIỂU NÀY TRÔNG BẠN QUÝ PHÁI MỘT CÁCH TỰ NHIÊN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R022.wav,130044,ĐỒNG NGHIỆP TÂY BẢO NHẠC CỦA TÔI CHỈ THOÁNG NGHE
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R023.wav,112044,ĐÂU LÀ TÌNH YÊU ĐÍCH THỰC
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R024.wav,158044,CŨNG SẼ GẶP KHÓ KHĂN VÌ KHÔNG CÓ HÌNH ẢNH ĐỂ ĐỐI CHIẾU
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R025.wav,160044,TAY CẦM MỘT CỌC TIỀN ĐẾM XOÈN XOẸT ĐƯA CHO CHA MẸ CÔ DÂU
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R026.wav,120044,TRONG NIỀM PHẤN KHỞI CỦA BÀ CON NGƯ DÂN
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R027.wav,115044,BẮT ĐẦU LỌC CỌC TIẾNG DÙI ĐỤC CỦA THỢ MỘC
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R028.wav,121044,VIỆC THIẾT LẬP TỐC ĐỘ NHÁY CHUỘT
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R029.wav,101044,KẾT LUẬN TRÊN ĐÃ CHO THẤY
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R030.wav,101044,LẶN NGỤP VEN HỒ TÂY ĐỂ KIẾM SỐNG
/usr/workspace/pykaldi/deepspeech/vietnam/train/VIVOSSPK01_R031.wav,127044,CHÚNG TÔI CỨ LEN LÉN NHÌN VÀ CHẲNG THẤY NGƯỢNG NGẬP
